no_surat,konten,isi_surat,jenis
861,hide,,bukan keduanya
862,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai pembimbing / penguji proposal bagi mahasiswa kelas reguler ,
semester genap t.a 2022/2023 program studi sarjana elektronika dan instrumentasi, departemen ilmu
komputer dan elektronika, fakultas matematika dan ilmu pengetahuan alam, universitas gadjah mada
pada tanggal 13 april 2023.
",bukan keduanya
863,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan .
",bukan keduanya
864,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan bootcamp percepatan kelulusan mahasiswa program studi doktor ilmu
komputer ugm tahun angkatan 2019/2020 yang dilaksanakan di hotel indoluxe kabupaten sleman
diy pada tanggal 10 maret 2023 s.d. 12 maret 2023.
",bukan keduanya
865,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai pemonev/reviewer kegiatan monitoring dan evaluasi tugas
akhir yang dilaksanakan di program studi magister kecerdasan artifisial departemen ike fmipa
ugm pada tanggal 6 februari 2023 s.d. 10 februari 2023.
",bukan keduanya
866,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan pemantauan osnk tahun 2023 yang dilaksanakan di kulonprogo, diy
pada tanggal 4 april 2023 s.d. 7 april 2023.
",bukan keduanya
867,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan seminar nasional dalam national chemistry fair 2023 hima kimia
fmipa uny yang dilaksanakan di kampus uny yogyakarta pada tanggal 18 maret 2023.
",bukan keduanya
868,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai penguji ujian skripsi/tugas akhir i program sarjana program
studi matematika yang dilaksanakan di ruang sidang departemen matematika lt.1 pada tanggal 17
februari 2023.
",bukan keduanya
869,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan koordinasi konsorsium riset merah putih antara empat universitas,
universitas gadjah mada (ugm), universitas indonesia (ui), institut teknologi bandung (itb) dan
institut teknologi sepuluh nopember (its) bersama badan meteorologi, klimatologi dan geofisika
(bmkg) yang dilaksanakan di hotel holiday inn kemayoran jl. sunter agung utara d2 jl. griya
utama no.1, rw.5, sunter agung, jakarta, jakarta utara, daerah khusus ibukota jakarta 14350 pada
tanggal 14 april 2023 s.d. 16 april 2023.
",bukan keduanya
870,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai pengawas dan koordinator ujian/ruang uts genap ta
2022/2023 program studi magister kimia pada tanggal 3 april 2023 s.d. 10 april 2023.
",bukan keduanya
871,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan test.
",bukan keduanya
872,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai ketua dan penguji pada ujian mbkm (merdeka belajar kampus
merdeka) semester gasal 2022/2023 yang dilaksanakan di program studi sarjana ilmu komputer
departemen ike fmipa ugm.
",bukan keduanya
873,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan workshop penulisan proposal 2023 - unj yang dilaksanakan di
universitas negeri jakarta (unj) pada tanggal 1 maret 2023 s.d. 2 februari 2023.
",bukan keduanya
874,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan seminar monitoring dan evaluasi kemajuan penelitian disertasi
program studi doktor kimia pada tanggal 3 maret 2023.
",bukan keduanya
875,hide," melaksanakan kerja praktik di otoritas jasa keuangan yogyakarta dari 3 juli 2023 s.d 3
agustus 2023. maka dengan ini kami mohon bantuan saudara berkenan memberikan izin bagi
mahasiswa tersebut.
",bukan keduanya
876,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai penguji tugas akhir/thesis bagi mahasiswa program magister
program studi fisika departemen fisika fakultas matematika dan ilmu pengetahuan alam universitas
gadjah mada pada semester gasal tahun akademik 2022/2023.
",bukan keduanya
877,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan menerima kunjungan dari sman 7 garut dan sma labschool
kebayoran jakarta yang dilaksanakan di fakultas mipa ugm pada tanggal 5 januari 2023, dan 24
januari 2023.
",bukan keduanya
878,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan pada tanggal 13 februari 2023 s.d. 31 juli 2023.
",bukan keduanya
879,hide," melaksanakan kerja praktik di pt amman mineral nusa tenggara dari 6 maret 2023 s.d
25 maret 2023. maka dengan ini kami mohon bantuan saudara berkenan memberikan izin bagi
mahasiswa tersebut.
",bukan keduanya
880,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan pelatihan produksi video desiminasi pengetahuan yang dilaksanakan di
academic production house (aph) universitas gadjah mada jl. mahoni b9 bulaksumur yogyakarta
pada tanggal 11 april 2023 s.d. 14 april 2023.
",bukan keduanya
881,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan pada tanggal 1 januari 2023 s.d. 30 juni 2023.
",bukan keduanya
882,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai penguji ujian skripsi/tugas akhir ii program sarjana program
studi ilmu aktuaria yang dilaksanakan di ruang sidang 3 departemen matematika lantai 3 pada
tanggal 27 maret 2023.
",bukan keduanya
883,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai pemonev/reviewer kegiatan monitoring dan evaluasi tugas
akhir periode februari 2023 yang dilaksanakan di program studi magister ilmu komputer departemen
ike fmipa ugm pada tanggal 6 februari 2023 s.d. 10 februari 2023.
",bukan keduanya
884,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai pembimbing utama skripsi yang dilaksanakan di departemen
fisika fmipa universitas gadjah mada pada tanggal 31 maret 2023.
",bukan keduanya
885,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai pengawas ujian seleksi gelombang 1 semester gasal tahun
akademik 2023/2024 yang dilaksanakan secara program studi s2 ilmu komputer dike fmipa ugm,
secara daring pada tanggal 1 mei 2023.
",bukan keduanya
886,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai tim task force program merdeka belajar kampus merdeka
(mbkm) program studi geofisika departemen fisika fakultas mipa ugm tahun 2023. adapun tugas
dari tim tersebut untuk melaksanakan kurikulum mbkm pada program studi geofisika..
surat tugas ini berlaku sampai dengan 31 desember 2023
",bukan keduanya
887,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai pembimbing pendamping skripsi yang dilaksanakan di
departemen fisika fmipa ugm pada tanggal 10 januari 2023 s.d. 18 januari 2023.
",bukan keduanya
888,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan rakerta awal tahun fakultas sains dan matematika undip tahun
2023 dengan tema ""komitmen besama untuk mencapai target indikator kinerja peningkatan kualitas
prodi terakreditasi unggul fakultas sains dan matematika universitas diponegoro yang dilaksanakan
di hotel aruss semarang, jl. wahidin no. 116, jatingaleh, kec. candisari, kota semarang, jawa
tengah 50254, telepon (024) 86005339 pada tanggal 23 februari 2023.
",bukan keduanya
889,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan magang penelitian s3 a.n. mohamad syafi?i, m.si. yang dilaksanakan di
departemen matematika fmipa ugm pada tanggal 1 maret 2023 s.d. 1 juni 2023.
",penelitian
890,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai petugas piket perkuliahan kelas khusus/minat manajemen
informasi angkatan 2022, semester genap tahun akademik 2022/2023, periode perkuliahan februari-
juni 2023 yang dilaksanakan di kelas khusus minat manajemen informasi program studi magister
ilmu komputer dike fmipa ugm pada tanggal 1 februari 2023 s.d. 30 juni 2023.
",bukan keduanya
891,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai tim penguji tesis i dan pembimbing tesis program magister
program studi magister matematika yang dilaksanakan di ruang sidang gedung s2/s3 fmipa lantai 3
pada tanggal 15 februari 2023.
",bukan keduanya
892,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai panitia pelaksana workshop peningkatan kompetensi untuk
mendukung implementasi sistem pemerintahan berbasis elektronik (spbe) bagi pemerintah daerah
yang dilaksanakan di lab. riset sistem komputer dan jaringan dike fmipa ugm secara online pada
tanggal 22 mei 2023 s.d. 25 mei 2023.
",bukan keduanya
893,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai asesor dalam penilaian beban kinerja dosen (bkd) semester
ganjil 2022 - 2023 bagi dosen fakultas ilmu kesehatan, universitas kadiri.
",bukan keduanya
894,hide," melaksanakan kerja praktik di pusat studi lingkungan hidup dari 2 januari 2023 sampai
dengan 30 juni 2023. maka dengan ini kami mohon bantuan saudara berkenan memberikan izin bagi
mahasiswa tersebut.
",bukan keduanya
895,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai tim penguji tesis i dan pembimbing tesis program magister
program studi magister matematika yang dilaksanakan di ruang sidang gedung s2/s3 fmipa lantai 3
pada tanggal 12 april 2023.
",bukan keduanya
896,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan tim seleksi camaba program studi doktor kimia semester gasal
t.a 2023/2024 gelombang i secara daring pada tanggal 2 mei 2023.
",bukan keduanya
897,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan finalisasi pedoman satria data tahun 2023 yang dilaksanakan di hotel
grand savero bogor. jl. raya pajajaran no.27, rt.03/rw.08, babakan, kecamatan bogor tengah,
kota bogor, jawa barat 16128 pada tanggal 8 april 2023 s.d. 10 april 2023.
",bukan keduanya
898,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan instruktur dan asisten instruktur praktikum elektronika dan fisika zat
padat pada semester genap2022/2023 pada tanggal 1 maret 2023 s.d. 12 mei 2023.
",bukan keduanya
899,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai petugas piket perkuliahan pra s2 ilmu komputer tahun 2023,
semester genap tahun akademik 2022/2023 yang dilaksanakan di program studi s2 ilmu komputer
dike fmipa ugm pada tanggal 1 maret 2023 s.d. 30 juni 2023.
",bukan keduanya
900,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan seleksi substansi calon penerima beasiswa lpdp tahun 2023 yang
dilaksanakan secara daring/online via zoom meeting pada tanggal 11 april 2023 s.d. 14 april 2023.
",bukan keduanya
901,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai teknisi pada kegiatan pelantikan pengurus himpasikom dan
silaturahmi program studi magister ilmu komputer yang dilaksanakan di auditorium lt. 7 fakultas
mipa pada tanggal 31 maret 2023.
",bukan keduanya
902,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan menguji ujian disertasi (tertutup) program studi doktor program
pascasarjana teknik elektro ft-eic its atas nama yulianto tejo putranto (nrp 07111560010019)
dengan judul disertasi ""klasifikasi electroencephalograph (eeg) motor imagery dengan penerapan
differential asymmetry pada support vector machine (svm)"" yang dilaksanakan di ruang aj.102
deparemen teknik elektro ft-eic its, surabaya pada tanggal 30 januari 2023.
",bukan keduanya
903,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan student chapter (seg ugm sc) yang dilaksanakan di prodi geofisika,
departemen fisika, fakultas mipa ugm pada tanggal 1 januari 2023 s.d. 31 desember 2023.
",bukan keduanya
904,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan percobaan pada tanggal 29 maret 2023 s.d. 30 maret 2023.
",bukan keduanya
905,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai pembimbing utama skripsi yang dilaksanakan di departemen
fisika fmipa universitas gadjah mada pada tanggal 24 maret 2023.
",bukan keduanya
906,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan workshop dan rakernas indoceiss-coris tahun 2023 dengan tema
?pengelolaan dan peningkatan outcome menuju perguruan tinggi unggul"" yang dilaksanakan di
universitas amikom yogyakarta pada tanggal 24 februari 2023 s.d. 25 februari 2023.
",bukan keduanya
907,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai tim penguji tesis ii dan pembimbing tesis program magister
program studi magister matematika yang dilaksanakan di ruang sidang gedung s2/s3 fmipa lantai 3
pada tanggal 9 mei 2023.
",bukan keduanya
908,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai pembimbing / penguji proposal bagi mahasiswa kelas reguler,
semester genap t.a 2022/2023 program studi sarjana elektronika dan instrumentasi, departemen ilmu
komputer dan elektronika, fakultas matematika dan ilmu pengetahuan alam, universitas gadjah mada
pada tanggal 13 april 2023.
",bukan keduanya
909,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan kuliah filsafat sains semester genap 2022/2023 program studi
magister pendidikan fisika yang dilaksanakan di fakultas keguruan dan ilmu pendidikan, universitas
ahmad dahlan yogyakarta pada tanggal 1 maret 2023 s.d. 31 agustus 2023.
",bukan keduanya
910,hide,,bukan keduanya
911,hide,,bukan keduanya
912,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan workshop panduan pertolongan pertama pada upaya bunuh diri
(suicide first aid guidelines) yang dilaksanakan di center for public mental health (cpmh) fakultas
psikologi ugm pada tanggal 6 februari 2023.
",bukan keduanya
913,hide," aktif terdaftar sebagai mahasiswa pada semester ganjil tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
",bukan keduanya
914,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan workshop finalisasi konversi akreditasi lamsama dan penyusunan
panduan tugas akhir yang dilaksanakan di hyatt regency yogyakarta pada tanggal 22 maret 2023.
",bukan keduanya
915,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai tim evaluator sistem informasi monitoring proses
pembelajaran (simoni) tahun 2023 program studi sarjana geofisika yang dilaksanakan di program
studi sarjana geofisika, departemen fisika, fakultas mipa, universitas gadjah mada pada tanggal 1
januari 2023 s.d. 31 desember 2023.
",bukan keduanya
916,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan dosen perwalian akademik program studi doktor matematika semester
ii tahun akademik 2022/2023 yang dilaksanakan di departemen matematika fmipa ugm pada
tanggal 2 januari 2023 s.d. 30 juni 2023.
",bukan keduanya
917,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan yang dilaksanakan .
",bukan keduanya
918,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai tim penguji tesis i dan pembimbing tesis program magister
program studi magister matematika yang dilaksanakan di ruang 319 gedung s2/s3 fmipa lantai 3
pada tanggal 17 februari 2023.
",bukan keduanya
919,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan pembimbingan skripsi bagi mahasiswa program studi fisika fakultas
sains dan teknologi uin sunan kalijaga yogyakarta yang dilaksanakan di program studi fisika
fakultas sains dan teknologi uin sunan kalijaga yogyakarta pada tanggal 1 maret 2023 s.d. 30
agustus 2023.
",bukan keduanya
920,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan operator alat pengujian dan layanan laboratorium tahun 2023 yang
dilaksanakan di laboratorium kimia fisika departemen kimia fmipa ugm pada tanggal 1 februari
2023 s.d. 31 desember 2023.
",bukan keduanya
921,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan pembuatan outcome based education (obe) yang terdiri dari rpkps
dan portofolio perkuliahan yang dilaksanakan di departemen fisika fmipa ugm pada tanggal 18
januari 2023 s.d. 20 februari 2023.
",bukan keduanya
922,hide,"emberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan Pembentukan Tim Pendamping Fakultas (Advisory Board) Fakultas
MIPA UGM yang dilaksanakan di JS Luwansa Hotel & Convention Center, Jl. H.R. Rasuna Said No.22,
RT.2/RW.5, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan pada tanggal 3 Februari 2023
s.d. 5 Februari 2023.",pengabdian masyarakat
923,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan ujian tugas akhir/skripsi prodi geofisika a.n. finda anggraini
19/439135/pa/18958 yang dilaksanakan di ruang sidang prodi geofisika , departemen fisika, fakultas
mipa ugm pada tanggal 6 april 2023.
",bukan keduanya
924,hide," melaksanakan praktik kerja lapangan di pt. pertamina hulu mahakam dari 1 maret 2023
s.d 31 mei 2023. maka dengan ini kami mohon bantuan saudara berkenan memberikan izin bagi
mahasiswa tersebut.
",bukan keduanya
925,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai penyusunan portofolio mata kuliah program studi s3 ilmu
komputer semester gasal 2022/2023 yang dilaksanakan di program studi s3 ilmu komputer
departemen ike fmipa ugm.
",bukan keduanya
926,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan penyusunan portofolio matakuliah program studi sarjana elektronika
dan instrumentasi kelas internasional (iup) semester gasal 2022/2023 yang dilaksanakan di program
studi sarjana elektronika dan instrumentasi kelas internasional (iup) dike fmipa ugm.
",bukan keduanya
927,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai penguji ujian skripsi/tugas akhir ii program sarjana program
studi statistika yang dilaksanakan di ruang kuliah 319 gedung s2/s3 fmipa ugm pada tanggal 13
april 2023.
",bukan keduanya
928,hide," melaksanakan praktik kerja lapangan di pt. pertamina hulu rokan dari 5 juni 2023 s.d 5
juli 2023. maka dengan ini kami mohon bantuan saudara berkenan memberikan izin bagi mahasiswa
tersebut.
",bukan keduanya
929,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan .
",bukan keduanya
930,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan rapat kerja senat fakultas mipa ugm yang dilaksanakan di hotel
novotel solo, jl. slamet riyadi 272 solo pada tanggal 10 februari 2023 s.d. 12 februari 2023.
",bukan keduanya
931,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan pada tanggal 18 maret 2023.
",bukan keduanya
932,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai penguji ujian proposal tesis dan ujian tesis atas nama hanan
rizal wicaksono program magister kimia semester genap tahun akademik 2022/2023, bulan april
2023 pada tanggal 5 april 2023 s.d. 21 april 2023.
",bukan keduanya
933,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan workshop novelty coaching clinic tahun 2023 bagi mahasiwa program
studi doktor ilmu komputer ugm yang dilaksanakan secara daring pada tanggal 25 februari 2023.
",bukan keduanya
934,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan pengambilan tower internet di atas gedung matematika yang
dilaksanakan di fakultas mipa ugm pada tanggal 11 februari 2023.
",bukan keduanya
935,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai anggota penguji skripsi yang dilaksanakan di departemen
fisika fmipa ugm pada tanggal 5 januari 2023 s.d. 26 januari 2023.
",bukan keduanya
936,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai penguji ujian skripsi/tugas akhir ii program sarjana program
studi statistika yang dilaksanakan di ruang kuliah 319 gedung s2/s3 fmipa ugm pada tanggal 17
april 2023.
",bukan keduanya
937,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai penguji ujian skripsi/tugas akhir i program sarjana program
studi matematika yang dilaksanakan di ruang sidang ii departemen matematika lt. 3 fmipa ugm
pada tanggal 9 maret 2023.
",bukan keduanya
938,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai pembimbing pendamping bagi mahasiswa program sarjana
program studi geofisika yang dilaksanakan di departemen fisika fakultas matematika dan ilmu
pengetahuan alam universitas gadjah mada pada tanggal 1 desember 2022 s.d. 31 januari 2023.
",bukan keduanya
939,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan stadium general ?penulisan dan strategi publikasi ilmiah yang
dilaksanakan di ruang sidang 1 departemen matematika lantai 3 pada tanggal 12 april 2023.
",bukan keduanya
940,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sosialisasi program penelitian dan publikasi tahun 2023 yang
dilaksanakan secara daring menggunakan aplikasi zoom meeting di lab. instrumentasi dasar dike,
fmipa ugm pada tanggal 9 maret 2023.
",penelitian
941,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan menerima kunjungan dari sman 1plumbon, sman 2 sumbar, sma
fastabiqul khairat, sman 8 bogor, sman 5 tangerang, sman 9 tangsel, sma islam assyafi'iyah
02 bekasi, smait nurul fikri bogor yang dilaksanakan di fakultas mipa ugm pada tanggal 1
februari 2023 s.d. 21 februari 2023.
",bukan keduanya
942,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan site visit dan benchmarking dengan universitas gunadarma
technopark yang dilaksanakan di jawa barat dan dki jakarta pada tanggal 20 februari 2023 s.d. 21
februari 2023.
",pengabdian masyarakat
943,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai tim penguji tesis i dan pembimbing tesis program magister
program studi magister matematika yang dilaksanakan di ruang sidang gedung s2/s3 fmipa lantai 3
pada tanggal 20 februari 2023.
",bukan keduanya
944,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan ""workshop asisten praktikum laboratorium fisika dasar semester
genap ta 2022/2023"" yang dilaksanakan di laboratorium fisika dasar pada tanggal 25 februari 2023.
",bukan keduanya
945,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai penguji ujian skripsi/tugas akhir ii program sarjana program
studi matematika yang dilaksanakan di ruang sidang ii departemen matematika lt. 3 pada tanggal 4
mei 2023.
",bukan keduanya
946,hide," melaksanakan kerja praktik di otoritas jasa keuangan yogyakarta dari 3 juli 2023 s.d 4
agustus 2023. maka dengan ini kami mohon bantuan saudara berkenan memberikan izin bagi
mahasiswa tersebut.
",bukan keduanya
947,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai penguji ujian skripsi/tugas akhir ii program sarjana program
studi statistika yang dilaksanakan di ruang sidang ii departemen matematika lantai 3 pada tanggal 18
april 2023.
",bukan keduanya
948,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan penyusunan portofolio matakuliah program studi sarjana ilmu
komputer semester gasal 2022/2023 yang dilaksanakan di program studi s1 ilmu komputer dike
fmipa ugm.
",bukan keduanya
949,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai asisten praktikum kimia anorganik dan fisik ( praktikum
fisika 2 ) semester genap ta 2022/2023 yang dilaksanakan di laboratorium kimia fisika departemen
kimia fmipa ugm pada tanggal 1 februari 2023 s.d. 30 juni 2023.
",bukan keduanya
950,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan rapat kerja penyusunan naskah akademik pendirian center of control,
mathematical modelling, and optimization (si-commo) yang dilaksanakan di d?kaliurang resort and
convention, jl. boyong kaliurang barat, bojong, hargobinangun, kec. pakem, kabupaten sleman,
daerah istimewa yogyakarta 55582 pada tanggal 4 maret 2023 s.d. 5 maret 2023.
",bukan keduanya
951,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan kuliah umum meningkatkan kreativitas dan keterampilan
pembelajaran di era digital yang dilaksanakan di program studi s2 pendidikan fisika, fakultas
keguruan dan ilmu pendidikan universitas ahmad dahlan pada tanggal 15 maret 2023.
",bukan keduanya
952,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan persiapan sosialisasi dan finalisasi pedoman pagelaran mahasiswa
nasional bidang ilmu teknologi informasi dan komunikasi (gemastik) 2023 yang dilaksanakan di
harris hotel sentul city, bogor, jawa barat pada tanggal 12 maret 2023 s.d. 15 maret 2023.
kegiatan ini akan dilaksanakan oleh balai pengembangan talenta indonesia (bpti), pusat prestasi
nasional, kementerian pendidikan, kebudayaan, riset dan teknologi sesuai dengan surat undangan no.
0420/j7.1/pn.00/2023 tertanggal 7 maret 2023.
",bukan keduanya
953,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan lembur dalam rangka penyelesaian proses penyusutan arsip kptu
yang dilaksanakan di fakultas mipa ugm pada tanggal 18 maret 2023, dan 25 maret 2023.
",bukan keduanya
954,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai tim asesor lembaga akreditasi mandiri informatika dan
komputer dalam rangka asesmen lapangan secara luring terhadap program studi sistem informasi
pada proram studi s1 universitas nahdlatul ulama kalimantan barat pada tanggal 16 maret 2023 s.d.
18 maret 2023.
",bukan keduanya
955,hide," melaksanakan kerja praktik di pt pertamina (persero) refinery unit iv dari 1 mei
2023 s.d 31 maret 2023. maka dengan ini kami mohon bantuan saudara berkenan memberikan izin
bagi mahasiswa tersebut.
",bukan keduanya
956,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai penyusun portofolio dalam rangka continuous improvement
proses pembelajaran di departemen matematika fakultas mipa ugm.
",bukan keduanya
